Station,dist_to_TRAIN_km
1001,5.9645267758485865
1002,6.0209610217346805
1003,6.107948269945159
1004,6.4765746290914326
1005,6.605968448275987
1006,6.719161093955178
1007,7.038198996547055
1008,7.4000546145650254
1009,7.232341885228191
1010,7.161478136124759
1011,7.046540713237106
1012,6.906027233504561
1013,6.95491775904485
1014,7.059016243231601
1015,7.196492160090286
1016,7.601835281536652
1017,7.858114622715345
1018,7.934613815311495
1019,8.11836851633872
1020,8.571065109391842
1021,8.782878025903875
1022,8.339688666896016
1023,7.695877185354537
1024,7.0470489346041125
1025,6.528332397673372
1026,6.42019227033649
1027,6.659869927946872
1028,7.036470547538804
1029,7.6263698667007915
1030,7.479083021504919
1031,7.947068169197179
1032,8.167122821398427
1033,8.821330102581898
1034,9.211639033269188
1035,9.113840850929463
1036,9.786456393259947
1037,10.474925329736832
1038,10.860492694325607
1039,10.91069832554432
1040,11.40029954540066
1041,11.844553594467687
1042,12.475723670205333
1043,13.245201969184198
1044,14.041575970596595
1045,14.36899010337046
1046,14.588852223403897
1047,14.683914737152746
1048,14.595173909916433
1049,14.946224740356302
1050,14.5187523929205
1051,14.163050306996178
1052,13.93037493860184
1053,13.997558706852725
1054,13.941723807528161
1055,13.898763240283664
1056,13.72770828334712
1057,13.750351903676407
1058,13.86164791331511
1059,13.658113506838687
1060,13.51612848022146
1061,13.341907053096019
1062,13.183042816580796
1063,13.107348998410846
1064,13.194935008355719
1065,13.19458208128004
1066,13.0031962712486
1067,12.461992333865922
1068,11.9499541217836
1069,11.846136493173658
1070,11.869032526227295
1071,11.645029186217046
1072,11.688724340898691
1073,11.225569491834554
1074,10.54240841511806
1075,10.139362311743666
1076,9.377452103973452
1077,8.41798386996849
1078,7.491104712451345
1079,6.411152359944001
1080,5.450134227797062
1081,4.612047621066806
1082,3.669507764740276
1083,2.7373932454664605
1084,1.8692202679437433
1085,1.3236221890904514
1086,0.6886484578044322
1087,0.46346315802188803
1088,0.10037490513566359
1089,0.5173197464118164
1090,0.7389169429155507
1091,0.590008045683689
1092,0.5626328742592346
1093,0.38854655864185195
1094,0.6313079041330687
1095,1.0031890279144509
1096,1.1000992580957527
1097,1.5609002746768292
1098,1.102177886727331
1099,0.6585571776979762
1100,0.18426840774131958
1101,0.4683133494303697
1103,1.3296165019151043
1104,1.2918998020842012
1105,1.2878269253495913
1106,1.4230450868006126
1107,1.5876730289083734
1108,1.276868783684735
1109,0.8714209522752725
1110,1.0359098511488234
1111,1.3707915990944255
1112,1.3878053467263602
1113,1.7047129756176427
1114,1.5922437274637076
1115,1.727150458202577
1116,1.5227237113395151
1117,1.0895891529688826
1118,0.6916029217892558
1119,0.37383365450648764
1120,0.17144360773812287
1121,0.16660654647646472
1122,0.1721438491795755
1123,0.19450314516988057
1124,0.314627897742467
1125,0.3462009421368767
1126,0.231860279209921
1127,0.08433669974178083
1128,0.26046712541009237
1130,0.34443587540695675
1131,0.3296611155496094
1132,0.1594392715602486
1133,0.31427425447596125
1134,0.52059555170363
1135,0.6762517762990271
1136,0.548658006205682
1137,0.43518270703537465
1138,0.3189062343084332
1139,0.3349147950080928
1140,0.23245915452068544
1141,0.1147243922448396
1142,0.12728244185547546
1143,0.12064293778118045
1144,0.20252403569003508
1145,0.2398564946075676
1146,0.6413172765456032
1147,1.2765528682100462
1148,1.2429078842015973
1149,1.0610406372888346
1150,1.3998948375944422
1151,1.5284350601137149
1152,1.5887186379265985
1153,1.5601791993568004
1154,1.310434987741263
1155,1.2447866534436975
1156,0.9833135040755738
1157,1.0435968736496077
1158,1.4441953957659845
1159,1.2773512365456001
1160,0.976410001722859
1161,0.6166977338704843
1162,0.6516077739330803
1163,1.0559886912325485
1164,1.0454285806812063
1165,0.9866582934227994
1166,0.7278097389166669
1167,0.4423523941891364
1168,0.4837895233763708
1169,0.5493461892244637
1170,0.678845396270987
1171,0.6038915684468283
1172,0.2506187792333934
1173,0.49295695197097017
1174,0.5917431017762366
1175,0.42656238714531197
1176,0.8001711880304889
1177,1.3571842671971461
1178,1.6599197808449324
1179,1.1344122991860566
1180,0.8228953335849627
1181,0.9366708394394345
1182,1.0871986573157582
1183,1.0321437179450974
1184,0.9968363638451744
1185,1.0539899906372552
1186,0.9743492756910095
1187,0.5560217173237378
1188,0.13471149874184957
1189,0.5777500526229893
1190,0.8745012291911083
1191,0.5217483114455923
1192,0.8210894961207471
1193,0.4137340191444659
1194,0.17225978032220687
1195,0.034167379160408656
1196,0.07970674974247594
1197,0.5682396383154352
1199,1.0128061917508233
1200,0.4888472048492688
1201,0.15606585266119452
1202,0.38245297570688086
1203,0.22214253317190386
1204,0.3981982318303971
1205,0.44608488057834805
1206,0.38466773942709537
1207,0.29154964605815303
1208,0.5624662596572001
1209,0.8018337212009351
1211,1.165370189908106
1212,1.7904680057994604
1213,2.4741457343137028
1214,2.2031612600825707
1215,2.158831173096278
1216,1.7349529278251135
1217,1.6977397705678823
1218,1.9475432681571136
1219,2.042173014481178
1220,2.198562144994158
1221,2.339121300742687
1222,2.366221257543282
1223,1.9925545842728838
1224,1.8710988493678034
1225,2.072287639630057
1226,1.713517836841572
1227,1.460778692485568
1228,1.435230681164139
1229,1.0062276792202232
1230,0.7456161466959699
1231,0.8019636526347645
1232,0.6999944425511175
1233,0.8194526121733091
1234,1.2681480211468723
1235,1.33215986239564
1236,0.9472547345907447
1237,1.3067881046565084
1238,1.646964984456778
1239,1.859518967650427
1240,1.9535580286048855
1241,1.926831213172332
1242,1.8083878852950945
1243,2.1551220553932176
1244,2.2716619480684246
1245,1.8228422265786959
1246,1.936976749393805
1247,1.8825437839793846
1248,1.2857365943317716
1249,1.3805225629721833
1250,1.6752683245873399
1251,1.89152370934174
1252,1.8859958433101525
1253,1.6015810302305606
1254,1.4893878584575566
1255,1.8091010969380927
1256,1.6791180642774222
1257,1.588584947010625
1258,1.438927889950856
1259,1.0316327243158983
1260,0.24851071964519447
1261,0.7968390459940203
1262,1.128199681123848
1263,1.4404231984127185
1264,1.7009981129875988
1265,1.1344604491514725
1266,0.45661104607590974
1267,0.8625943286495473
1268,1.6588471247069378
1269,2.0457092489033055
1270,2.3051642358111035
1271,2.303341588138893
1272,2.2838556185775434
1273,2.3953635061028495
1274,2.822602912852702
1275,3.4537522195753656
1276,4.3088412862851895
1277,5.072041209080021
1278,5.319536432800384
1279,5.346060541684386
1280,4.849716520406881
1281,4.313661530377768
1282,4.764519471787138
1283,5.009603962052185
1284,4.70173923356906
1285,4.247611124046467
1286,3.641584142093746
1287,3.064493446356933
1288,2.4233650406970595
1289,2.2843269514158506
1290,1.4896241812963589
1291,1.0245268492605932
1292,0.8561402106159869
1293,1.2857555737224753
1294,1.647809761528665
1295,0.6947773461665797
1296,0.21829185688464423
1297,1.2613247226678481
1298,1.5746502482301357
1299,1.642320338151633
1300,1.9321362181480992
1301,2.033907257935806
1302,1.2723204562337813
1303,0.7727003359783756
1304,0.8434000214110239
1305,0.09960346562599119
1306,0.11750757324843623
1500,2.3348327782937424
1501,2.3099630639069018
1502,2.289488435899293
1503,2.2657806301461565
1504,2.2419936893093553
1505,2.221904509482206
1506,2.1967740740147295
1507,2.1737119968924725
1508,2.1608554895344443
1509,2.1414912389370593
1510,2.1135610294956555
1511,2.094022632963156
1512,2.0789470181366676
1513,2.0578572377772217
1514,2.0321119505439684
1515,2.0088531314377818
1516,1.9954125695499412
1517,1.9838654757655587
1518,1.9659222238730012
1519,1.959717726918905
1520,1.9597409725543722
1521,1.957290759454438
1522,1.9513197545904697
1523,1.9480945160224137
1524,1.9412563764715192
1525,1.934572258860074
1526,1.931125598763672
1527,1.9242075009977115
1528,1.9153058523136506
1529,1.9064236085131612
1530,1.899383947332828
1531,1.892622952639515
1532,1.8838535932294258
1533,1.8797591445338693
1534,1.8750763107385195
1535,1.8738904119193334
1536,1.8711324264772256
1537,1.8719886456707642
1538,1.8721224864188408
1539,1.8730225354221959
1540,1.8734950870964837
1541,1.8741100875155081
1542,1.873383566702179
1543,1.8731886621404668
1544,1.8737542519662322
1545,1.8737299271281571
1546,1.8740239219491006
1547,1.8738295988552491
1548,1.8735750961293622
1549,1.8737087423557799
1550,1.8726087446023088
1551,1.8719579356893166
1552,1.8685288241885587
1553,1.8662921270284976
1554,1.8636509317040542
1555,1.8615524871449631
1556,1.8589733413004166
1557,1.8553905281559806
1558,1.8483120216871136
1559,1.8447915677343336
1560,1.8394067651078339
1561,1.839929326247128
1562,1.8404408627772548
1563,1.8377739347917077
1564,1.8358811662122045
1565,1.8352287630607467
1566,1.8346736278315066
1567,1.8346973977807115
1568,1.8325799350310772
1569,1.831787153362204
1570,1.8323560348074337
1571,1.8328604663050794
1572,1.8347503579417757
1573,1.8329148414663259
1574,1.828377277729402
1575,1.8232267125317974
1576,1.8227767741457903
1577,1.8211711033931206
1578,1.817904168387997
1579,1.817833035221033
1580,1.8128636089786536
1581,1.810683288819731
1582,1.8080901708932549
1583,1.8039146507843653
1584,1.8058190677124626
1585,1.7975159563906737
1586,1.794154080821869
1587,1.779833786624987
1588,1.7855337756886815
1589,1.763117893761187
5510,1.5960440428554892
5511,2.1091893029701625
5575,1.8534483747743236
5900,2.0877135626122674
9211,1.4758333523043656
